City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
49,Aginskoye,51.1,114.53,27.27,57,98,19.89,RU,2020-04-20 04:21:54,overcast clouds,0,0
50,Bauchi,10.5,10.0,75.38,19,67,5.23,NG,2020-04-20 04:21:55,broken clouds,0,0
51,Punta Arenas,-53.15,-70.92,42.8,75,40,19.46,CL,2020-04-20 04:12:14,scattered clouds,0,0
52,Mount Gambier,-37.83,140.77,64.4,55,75,17.22,AU,2020-04-20 04:21:43,broken clouds,0,0
53,Santa Cruz,-17.8,-63.17,68.0,82,0,4.7,BO,2020-04-20 04:21:56,clear sky,0,0
54,Tuktoyaktuk,69.45,-133.04,8.6,84,90,4.7,CA,2020-04-20 04:16:09,light snow,0,0
55,Khatanga,71.97,102.5,31.03,95,61,5.66,RU,2020-04-20 04:16:37,broken clouds,0,0
56,Saint-Philippe,-21.36,55.77,77.0,73,40,16.11,RE,2020-04-20 04:16:13,scattered clouds,0,0
57,Poum,-20.23,164.02,80.6,76,100,8.79,NC,2020-04-20 04:21:57,light rain,0.89,0
58,Balabac,7.99,117.06,87.67,64,98,9.57,PH,2020-04-20 04:21:57,light rain,0.64,0
59,Mayo,38.89,-76.51,55.0,87,1,3.36,US,2020-04-20 04:16:33,clear sky,0,0
60,Puerto Ayora,-0.74,-90.35,80.01,87,50,5.99,EC,2020-04-20 04:16:37,scattered clouds,0,0
61,Dudinka,69.41,86.18,37.4,69,100,29.08,RU,2020-04-20 04:21:58,overcast clouds,0,0
62,Kavieng,-2.57,150.8,84.33,73,30,5.17,PG,2020-04-20 04:16:54,light rain,0.43,0
63,Broome,42.25,-75.83,45.0,80,90,14.99,US,2020-04-20 04:21:58,light rain,0,0
64,Saint George,37.1,-113.58,64.0,42,20,17.22,US,2020-04-20 04:13:05,few clouds,0,0
65,Vaini,-21.2,-175.2,82.4,74,40,10.29,TO,2020-04-20 04:16:00,scattered clouds,0,0
66,Bluff,-46.6,168.33,55.99,74,70,5.01,NZ,2020-04-20 04:16:17,light rain,0.23,0
67,Porto Novo,6.5,2.6,80.87,78,100,5.35,BJ,2020-04-20 04:21:59,overcast clouds,0,0
68,Hobart,-42.88,147.33,62.01,67,75,23.04,AU,2020-04-20 04:12:42,light rain,0,0
69,Felanitx,39.47,3.15,62.6,93,90,1.12,ES,2020-04-20 04:22:00,overcast clouds,0,0
70,Hithadhoo,-0.6,73.08,84.88,76,100,11.5,MV,2020-04-20 04:16:28,overcast clouds,0,0
71,Bambous Virieux,-20.34,57.76,75.2,88,40,11.41,MU,2020-04-20 04:16:15,shower rain,0,0
72,Hilo,19.73,-155.09,78.8,57,20,9.17,US,2020-04-20 04:16:32,few clouds,0,0
73,Severo-Kurilsk,50.68,156.12,31.71,92,52,9.17,RU,2020-04-20 04:17:57,broken clouds,0,0
74,Vardo,70.37,31.11,37.4,86,40,17.22,NO,2020-04-20 04:17:32,scattered clouds,0,0
75,Mashhad,36.3,59.61,64.4,48,0,2.04,IR,2020-04-20 04:21:10,clear sky,0,0
76,Kindersley,51.47,-109.17,44.01,62,90,13.87,CA,2020-04-20 04:22:01,overcast clouds,0,0
77,Norman Wells,65.28,-126.83,28.4,86,90,2.24,CA,2020-04-20 04:17:00,light snow,0,0
78,Moose Factory,51.26,-80.61,6.8,77,1,6.93,CA,2020-04-20 04:17:22,clear sky,0,0
79,Lagoa,39.05,-27.98,56.79,60,0,13.04,PT,2020-04-20 04:16:33,clear sky,0,0
80,Chokurdakh,70.63,147.92,9.68,95,92,11.48,RU,2020-04-20 04:15:46,overcast clouds,0,0
81,Plettenberg Bay,-34.05,23.37,64.63,66,0,2.33,ZA,2020-04-20 04:17:35,clear sky,0,0
82,Tiksi,71.69,128.87,18.86,92,100,6.04,RU,2020-04-20 04:16:45,overcast clouds,0,0
83,Sorland,67.67,12.69,42.8,93,75,12.75,NO,2020-04-20 04:22:03,broken clouds,0,0
84,Lagos,6.58,3.75,78.8,94,20,2.24,NG,2020-04-20 04:20:58,few clouds,0,0
85,Bria,6.54,21.99,71.53,73,100,4.14,CF,2020-04-20 04:22:03,overcast clouds,0,0
86,Mataura,-46.19,168.86,55.99,74,90,5.01,NZ,2020-04-20 04:15:49,overcast clouds,0,0
87,Bredasdorp,-34.53,20.04,57.2,87,0,2.24,ZA,2020-04-20 04:16:34,clear sky,0,0
88,Coahuayana,18.73,-103.68,73.35,82,0,3.44,MX,2020-04-20 04:17:21,clear sky,0,0
89,Ugoofaaru,5.67,73.0,86.09,71,45,8.75,MV,2020-04-20 04:22:04,scattered clouds,0,0
90,East London,-33.02,27.91,84.2,45,0,11.41,ZA,2020-04-20 04:15:58,clear sky,0,0
91,Coihaique,-45.58,-72.07,37.4,93,40,2.24,CL,2020-04-20 04:22:04,scattered clouds,0,0
92,Zaranj,30.97,61.88,69.8,64,4,11.41,AF,2020-04-20 04:22:05,clear sky,0,0
93,Baruun-Urt,46.68,113.28,26.13,64,92,15.68,MN,2020-04-20 04:22:05,light snow,0,0.39
94,Mackay,-21.15,149.2,86.0,74,68,11.41,AU,2020-04-20 04:22:05,broken clouds,0,0
95,Port Alfred,-33.59,26.89,70.0,64,0,5.61,ZA,2020-04-20 04:16:18,clear sky,0,0
96,Thompson,55.74,-97.86,15.8,92,75,4.7,CA,2020-04-20 04:16:19,light snow,0,0
97,Georgetown,5.41,100.34,91.4,70,20,4.7,MY,2020-04-20 04:13:43,few clouds,0,0
98,Lexington,37.99,-84.48,51.01,81,90,5.82,US,2020-04-20 04:22:06,overcast clouds,0,0
99,Faanui,-16.48,-151.75,82.24,77,81,19.19,PF,2020-04-20 04:16:01,light rain,1.2,0
100,Japura,-0.32,102.35,88.66,58,2,3.36,ID,2020-04-20 04:22:07,light rain,0.11,0
101,Rostock,54.09,12.14,39.0,74,20,4.7,DE,2020-04-20 04:22:07,few clouds,0,0
102,Srednekolymsk,67.45,153.68,16.23,94,100,11.86,RU,2020-04-20 04:22:07,light snow,0,0.18
103,Busselton,-33.65,115.33,66.99,70,95,10.0,AU,2020-04-20 04:16:21,light rain,0.13,0
104,Harper,4.38,-7.72,80.53,84,100,4.99,LR,2020-04-20 04:22:07,light rain,0.58,0
105,Bethel,41.37,-73.41,53.6,40,1,6.93,US,2020-04-20 04:16:27,clear sky,0,0
106,Cidreira,-30.18,-50.21,66.7,86,0,15.21,BR,2020-04-20 04:17:05,clear sky,0,0
107,Mana,5.66,-53.78,77.13,90,100,10.45,GF,2020-04-20 04:22:08,moderate rain,4.53,0
